,word,sentid,sentpos,wlen,surp,entropy,entred,RT
63,busy,2,6,4,13.891195297241213,9.974703788757324,0.0,369.511904761905
64,as,2,7,2,5.658826351165772,5.225598335266113,4.749105453491211,388.720930232558
65,beavers,2,8,5,5.5004730224609375,6.465353965759277,0.0,359.790697674419
66,and,2,9,3,3.80194354057312,5.990044116973878,0.4753098487854004,362.50574712643703
67,quite,2,10,5,12.34634017944336,8.226373672485353,0.0,385.73563218390797
68,pleased,2,11,7,14.720599174499512,9.13623046875,0.0,343.93023255813995
69,with,2,12,4,0.8019289374351501,2.876163482666016,6.2600669860839835,370.37931034482807
70,themselves,2,13,10,10.413368225097656,5.432240962982178,0.0,371.4705882352941
71,for,2,14,3,6.6944923400878915,3.7067351341247563,1.725505828857422,349.05813953488416
72,being,2,15,5,7.642340660095215,7.6149702072143555,0.0,339.46511627907
73,so,2,16,2,8.889978408813477,9.175108909606934,0.0,345.96470588235303
74,successful,2,17,10,5.978718280792236,9.171777725219727,0.003331184387207031,380.47674418604686
75,and,2,18,3,5.331559658050537,2.8665676116943364,6.3052101135253915,362.95294117647103
76,well,2,19,4,10.302114486694336,8.392684936523438,0.0,361.27380952381
77,off,2,20,3,12.613492012023926,6.658426761627197,1.7342581748962402,357.091954022988
78,was,2,21,3,11.040472030639648,5.265897750854492,1.392529010772705,353.4137931034481
79,known,2,22,5,7.905781269073486,9.206141471862793,0.0,357.02325581395314
80,to,2,23,2,2.9273345470428467,3.6169819831848153,5.5891594886779785,344.4534883720929
81,the,2,24,3,7.053290367126465,5.2301435470581055,0.0,381.80232558139517
82,residents,2,25,9,13.451925277709961,10.325458526611328,0.0,365.5
83,of,2,26,2,1.1902024745941162,3.978629350662232,6.346829175949098,388.96511627907
84,"Bradford,",4,55,9,14.433354020118712,7.6201558113098145,0.9335160255432128,399.6117647058821
85,and,2,29,3,2.7852797508239746,7.379134178161621,0.0,367.63095238095184
86,if,2,30,2,9.457042694091797,7.451026439666747,0.0,328.68604651162804
87,you,2,31,3,10.125311851501463,5.926398277282715,1.5246281623840332,329.8620689655171
88,were,2,32,4,2.909247636795044,7.212478637695312,0.0,331.6046511627909
89,to,2,33,2,6.369113445281982,9.389017105102539,0.0,315.4186046511631
90,go,2,34,2,7.08155632019043,7.041489601135254,2.347527503967285,344.7931034482759
91,into,2,35,4,4.211372375488281,6.066993236541747,0.974496364593506,332.28235294117604
92,the,2,36,3,1.5715967416763306,6.472607135772705,0.0,326.1294117647059
93,city,2,37,4,4.639796257019043,9.769991874694824,0.0,319.583333333333
94,to,2,38,2,5.101387977600098,5.2276530265808105,4.542338848114014,319.0813953488369
95,visit,2,39,5,9.074422836303713,8.441149711608888,0.0,330.9186046511631
96,the,2,40,3,1.4604560136795044,6.31252908706665,2.1286206245422363,370.7325581395349
97,stately,2,41,5,4.452010154724121,9.586847305297852,0.0,393.69767441860483
98,City,2,42,4,10.758771896362305,7.519349098205566,2.0674982070922847,385.6279069767439
99,"Hall,",4,87,5,13.040051221847534,9.679121732711792,4.10358452796936,395.390804597701
100,you,2,45,3,12.36697006225586,6.626223087310791,0.0,334.3678160919541
101,would,2,46,5,4.1931986808776855,7.403327465057372,0.0,327.79310344827593
102,see,2,47,3,6.500169277191162,7.341875553131103,0.061451911926269524,333.4418604651159
103,there,2,48,5,9.402142524719238,6.165473461151122,1.1764020919799805,341.1162790697671
104,the,2,49,3,6.219796657562256,5.346119403839111,0.8193540573120117,391.2298850574711
105,Crest,2,50,5,4.997986316680908,9.990995407104492,0.0,381.24418604651197
106,of,2,51,2,3.923888683319092,8.253416061401367,1.737579345703125,333.63855421686696
107,the,2,52,3,1.1385101079940796,6.446638107299805,1.8067779541015625,341.71428571428606
108,City,2,53,4,10.104541778564453,10.286531448364258,0.0,353.9534883720929
109,of,2,54,2,1.3094112873077393,5.902552127838135,4.383979320526123,357.91764705882406
110,"Bradford,",4,111,9,13.137141227722166,12.447555541992188,3.8719692230224614,387.58823529411796
111,which,2,57,5,3.543428659439087,7.163818836212157,0.0,374.15294117647096
112,those,2,58,5,15.524601936340332,6.342758655548097,0.8210601806640625,356.63529411764705
113,same,2,59,4,17.483343124389652,7.9288573265075675,0.0,394.091954022988
114,mill,2,60,4,16.599353790283207,9.44814395904541,0.0,350.5
115,owners,2,61,6,10.13116455078125,7.710795402526855,1.737348556518555,380.05813953488416
116,created,2,62,7,12.71823787689209,4.836545467376709,2.8742499351501465,360.8372093023258
117,to,2,63,2,6.188772201538086,6.201629638671875,0.0,371.5294117647059
118,celebrate,2,64,9,10.31010627746582,8.770440101623535,0.0,342.95294117647103
119,their,2,65,5,4.4788780212402335,3.6140694618225098,5.156370639801025,400.2619047619051
120,achievements.,4,133,13,12.337432354688644,11.667405605316162,7.3884034156799325,419.1860465116278
121,It,3,0,2,7.448396682739258,6.40224552154541,0.0,388.620689655172
122,shows,3,1,5,11.888701438903807,3.4118902683258057,2.9903552532196045,338.908045977012
123,a,3,2,1,2.3117482662200928,6.364090919494629,0.0,380.290697674419
124,sinister,3,3,8,19.272987365722656,9.664664268493652,0.0,426.88372093023315
125,looking,3,4,7,14.008113861083984,10.275712013244627,0.0,407.51764705882414
126,boar's,6,11,7,19.39168405532837,14.029309749603271,3.873629093170166,406.38372093023315
127,head,3,7,4,9.108114242553713,10.683478355407717,0.0,424.83908045977034
128,sitting,3,8,7,15.223424911499025,5.997120380401611,4.686357975006104,356.84883720930196
129,on,3,9,2,0.8741782307624817,2.9396650791168213,3.05745530128479,340.7441860465119
130,top,3,10,3,9.200458526611328,4.54320240020752,0.0,349.9195402298852
131,of,3,11,2,0.3264768123626709,2.0807139873504643,2.462488412857056,350.04597701149396
132,a,3,12,1,4.0190086364746085,3.1829721927642822,0.0,343.13953488372096
133,well,3,13,4,12.630463600158693,10.274499893188477,0.0,375.6627906976742
134,which,3,14,5,16.897598266601562,0.3857444524765015,9.888755440711977,423.23529411764713
135,seems,3,15,5,11.022643089294434,9.285486221313477,0.0,425.96470588235303
136,puzzling,3,16,5,6.3883466720581055,2.995971202850342,6.289515018463135,375.2068965517241
137,at,3,17,2,6.8918538093566895,6.100067138671875,0.0,353.51764705882397
138,"first,",6,37,6,11.73136281967163,11.322108268737793,0.7897195816040039,343.7441860465119
139,but,3,20,3,3.226708173751831,6.327600955963135,0.0,331.1046511627909
140,the,3,21,3,3.237416505813598,7.4935669898986825,0.0,358.8505747126439
141,reason,3,22,6,9.057933807373047,10.641729354858398,0.0,340.87356321839115
142,for,3,23,3,3.339794158935547,5.525084972381592,5.116644382476807,341.3103448275861
143,this,3,24,4,5.2458038330078125,7.248645305633545,0.0,340.5581395348841
144,symbol,3,25,6,14.837343215942385,8.288219451904299,0.0,348.885057471264
145,is,3,26,2,1.5623412132263184,4.746662139892578,3.5415573120117188,328.15116279069804
146,a,3,27,1,4.051436424255371,8.019086837768555,0.0,355.4482758620689
147,matter,3,28,6,8.135610580444336,10.051783561706543,0.0,327.26436781609215
148,of,3,29,2,0.5668603777885437,2.466283798217773,7.5854997634887695,372.411764705882
149,legend.,6,61,7,17.397478103637695,13.385967254638668,5.935403823852539,392.7241379310341
150,There,4,0,5,8.864266395568848,6.40224552154541,0.0,364.28735632183896
151,was,4,1,3,2.8539061546325684,3.2313752174377437,3.170870304107666,331.655172413793
152,"once,",8,5,5,21.144503593444824,10.48265552520752,0.0,342.8965517241381
153,legend,4,4,6,20.61922645568848,6.773115634918213,0.0,455.2873563218389
154,has,4,5,3,8.391812324523926,5.100456714630127,1.672658920288086,376.02298850574715
155,"it,",8,13,3,16.05104684829712,10.404181241989136,1.6809737682342532,358.2068965517241
156,a,4,8,1,5.121959686279297,6.705891609191895,0.2788066864013672,369.04597701149396
157,fearsome,4,9,5,4.060495376586913,10.098273277282717,0.0,369.97674418604686
158,"boar,",8,21,6,5.879855394363404,13.417930126190186,4.138402462005615,375.02325581395314
159,which,4,12,5,3.9233121871948238,5.957241535186768,0.002629280090332031,363.38372093023287
160,lived,4,13,5,10.93413543701172,6.785138130187987,0.0,324.9058823529411
161,in,4,14,2,1.0637332201004028,3.837403535842896,2.9477345943450928,302.5697674418599
162,a,4,15,1,4.483656406402588,6.454499244689941,0.0,363.19767441860483
163,wood,4,16,4,14.378765106201172,9.815425872802734,0.0,357.7674418604651
164,located,4,17,7,12.87205696105957,8.994600296020508,0.8208255767822266,424.87356321839087
165,just,4,18,4,10.275184631347656,4.1924967765808105,4.802103519439697,342.74117647058796
166,outside,4,19,7,5.3203768730163565,6.287027359008789,0.0,323.7441860465119
167,the,4,20,3,0.8857836127281189,4.779698371887207,1.5073289871215818,350.36046511627904
168,manor,4,21,5,12.201092720031738,9.382314682006836,0.0,353.3333333333329
169,of,4,22,2,2.56919527053833,5.919618129730225,3.4626965522766118,407.02325581395314
170,Bradford.,8,47,9,16.68613910675049,8.891352415084839,2.5879600048065186,391.616279069767
171,A,5,0,1,5.694004535675049,6.40224552154541,0.0,365.53488372093
172,source,5,1,6,11.528230667114258,9.845290184020996,0.0,345.7931034482759
173,of,5,2,2,0.4395298659801483,2.5144083499908447,7.330881834030151,333.80459770114896
174,great,5,3,5,9.035951614379883,10.210139274597168,0.0,358.3103448275861
175,trouble,5,4,7,14.501648902893065,9.058433532714844,1.1517057418823242,338.46511627907
176,to,5,5,2,5.588696002960205,5.57124137878418,3.4871921539306636,319.209302325581
177,the,5,6,3,2.211322546005249,8.039440155029299,0.0,308.9418604651159
178,local,5,7,5,7.862143993377685,10.652027130126953,0.0,307.4470588235289
179,folk,5,8,4,11.195289611816406,9.96639633178711,0.6856307983398438,336.0465116279071
180,the,5,9,3,13.65435791015625,8.69865608215332,1.267740249633789,346.23529411764696
181,boar,5,10,5,3.005040407180786,10.009928703308104,0.0,342.5529411764711
182,"was,",10,23,4,15.038002014160156,15.133172512054442,2.963728427886963,374.7142857142859
183,bringing,5,13,8,15.567594528198242,6.9362311363220215,1.1507411003112793,374.5
184,terror,5,14,6,18.954198837280273,6.011394500732423,0.9248366355895996,347.423529411765
185,to,5,15,2,1.1368244886398315,4.629334926605225,1.3820595741271973,320.5
186,the,5,16,3,1.4315630197525024,6.513234615325928,0.0,332.15116279069804
187,peaceful,5,17,8,16.79301643371582,10.552085876464844,0.0,336.86046511627904
188,flocks,5,18,6,18.851640701293945,10.370893478393556,0.18119239807128906,329.511627906977
189,and,5,19,3,5.988842964172362,3.284557819366455,7.0863356590271,341.68604651162804
190,ravaging,5,20,5,3.1700763702392583,10.443266868591307,0.0,359.86046511627904
191,the,5,21,3,5.494664192199707,6.775853633880615,3.667413234710693,397.11627906976696
192,countryside,5,22,11,13.027058601379395,10.936864852905273,0.0,414.54761904761915
193,around.,10,47,7,17.294960021972656,9.671990394592285,6.566529750823975,429.80487804877987
194,Even,6,0,4,11.92707061767578,6.40224552154541,0.0,385.13095238095184
195,"worse,",12,3,6,18.96018779277802,9.338262557983398,2.922642230987549,364.82558139534893
196,"however,",12,7,8,7.503437995910644,7.036674320697784,5.902874171733856,360.65116279069804
197,the,6,5,3,2.5683367252349854,7.711386203765869,0.0,324.4186046511631
198,boar,6,6,5,3.73054575920105,10.621474266052246,0.0,337.50588235294094
199,most,6,7,4,12.568363189697266,8.318971633911133,2.3025026321411133,356.47674418604686
200,liked,6,8,5,15.599105834960938,7.3081016540527335,1.0108699798583984,343.02325581395314
201,to,6,9,2,6.843508720397949,6.189231395721436,1.1188702583312988,331.96511627907
202,go,6,10,2,9.68499755859375,7.517082214355469,0.0,309.5647058823529
203,to,6,11,2,2.544154405593872,5.968242168426514,1.548840045928955,318.4186046511631
204,the,6,12,3,1.1037529706954956,5.98645544052124,0.0,323.8953488372091
205,well,6,13,4,11.2036714553833,10.097369194030762,0.0,349.56976744186005
206,that,6,14,4,12.175570487976074,1.1185200214385986,8.978849172592161,338.290697674419
207,was,6,15,3,5.762453556060791,7.323873043060303,0.0,324.52325581395314
208,in,6,16,2,6.058299064636231,9.057514190673828,0.0,300.65116279069804
209,the,6,17,3,1.767815113067627,7.040524005889893,2.0169901847839355,311.790697674419
210,wood,6,18,4,16.355545043945312,9.970664024353027,0.0,356.709302325581
211,and,6,19,3,3.719010591506958,7.085396766662598,2.8852672576904297,338.357142857143
212,drink,6,20,5,13.098177909851074,9.690948486328123,0.0,352.458823529412
213,its,6,21,3,13.375653266906738,4.10731840133667,5.583630084991455,326.78823529411807
214,fresh,6,22,5,11.409154891967773,10.517111778259276,0.0,324.376470588235
215,"water,",12,47,6,10.616326570510864,13.878187656402588,5.974935054779053,366.788235294118
216,so,6,25,2,7.044055938720702,6.888989448547362,0.0,339.81395348837196
217,that,6,26,4,1.8463919162750244,5.9792160987854,0.9097733497619628,313.458823529412
218,the,6,27,3,1.5666890144348145,5.8740234375,0.1051926612854004,301.566265060241
219,people,6,28,6,8.009077072143555,11.011663436889648,0.0,331.0
220,of,6,29,2,5.0145039558410645,6.136509418487549,4.8751540184021,313.91764705882406
221,Bradford,6,30,8,15.735089302062988,5.2910332679748535,0.8454761505126953,318.9294117647061
222,had,6,31,3,3.2073981761932373,6.23988676071167,0.0,353.87209302325607
223,second,6,32,6,15.048932075500488,7.423656463623048,0.0,350.16470588235296
224,thoughts,6,33,8,12.46897029876709,9.88551139831543,0.0,335.3837209302329
225,about,6,34,5,6.8956055641174325,4.475245475769043,5.410265922546387,337.6781609195399
226,visiting,6,35,8,13.402775764465332,6.037032604217528,0.0,319.4418604651159
227,the,6,36,3,1.3213357925415041,6.6903486251831055,0.0,335.31395348837196
228,well.,12,75,5,17.45266056060791,12.32516813278198,9.580675601959227,445.20930232558095
229,That,7,0,4,11.370268821716307,6.40224552154541,0.0,350.4705882352941
230,the,7,1,3,5.6507649421691895,7.691479206085205,0.0,341.0
231,people,7,2,6,9.753034591674805,10.04096221923828,0.0,335.5465116279071
232,of,7,3,2,3.197835683822632,6.959777355194093,3.081184864044189,319.52380952381
233,Bradford,7,4,8,13.19039249420166,4.2192773818969735,2.740499973297119,337.0813953488369
234,bore,7,5,4,15.588706970214846,6.317160606384277,0.0,351.5647058823529
235,the,7,6,3,1.6929242610931396,5.839138507843018,0.4780220985412598,370.65882352941196
236,brunt,7,7,5,12.938539505004885,10.62758731842041,0.0,358.11627906976713
237,of,7,8,2,0.03142474964261055,0.2610752582550049,10.366512060165403,336.21176470588193
238,the,7,9,3,0.4365139603614807,2.306683301925659,0.0,333.70238095238096
239,beast's,14,21,7,20.727996587753296,13.053374767303469,4.522392749786377,382.642857142857
240,ferocity,7,12,5,4.986416816711426,10.632222175598145,0.0,402.2619047619051
241,was,7,13,3,8.539745330810549,5.276860237121582,5.3553619384765625,386.8333333333329
242,unfair,7,14,6,13.77936840057373,9.178485870361328,0.0,343.46511627907
243,in,7,15,2,4.937078475952148,3.1204113960266118,6.058074474334718,314.9534883720929
244,the,7,16,3,1.2985583543777466,6.480225563049316,0.0,308.15294117647096
245,eyes,7,17,4,13.677627563476562,9.889790534973145,0.0,323.290697674419
246,of,7,18,2,2.889974355697632,3.841348886489868,6.048441648483276,312.720930232558
247,the,7,19,3,1.3608464002609253,6.430180549621582,0.0,348.82558139534893
248,people,7,20,6,7.309009552001952,10.733675003051758,0.0,325.2
249,of,7,21,2,3.9465024471282963,4.748106479644775,5.985568523406982,305.23529411764696
250,the,7,22,3,1.0094211101531982,5.845013618469237,0.0,380.44705882352883
251,region.,14,47,7,9.986525535583494,13.483978271484377,7.008298873901367,415.6627906976739
252,"Eventually,",16,1,11,12.734345197677612,10.061034679412842,2.7434563636779785,342.66279069767415
253,the,8,2,3,1.7921707630157468,6.961031913757324,0.0,326.68604651162804
254,issue,8,3,5,10.863228797912598,10.654449462890623,0.0,341.36046511627904
255,reached,8,4,7,10.382242202758787,5.234908580780028,5.419540882110597,336.6627906976741
256,the,8,5,3,1.5221951007843018,6.155540943145753,0.0,346.62790697674393
257,ears,8,6,4,18.716367721557614,9.345907211303713,0.0,320.84883720930196
258,of,8,7,2,0.1900559812784195,1.3739137649536133,7.971993446350098,307.40697674418607
259,the,8,8,3,1.0333088636398315,5.0539631843566895,0.0,328.0
260,kindly,8,9,6,20.5562686920166,10.71726131439209,0.0,325.32558139534893
261,Lord,8,10,4,17.259153366088867,5.019331455230713,5.697929859161378,326.488372093023
262,of,8,11,2,6.112070560455322,7.679169654846191,0.0,302.011627906977
263,the,8,12,3,1.8099591732025144,7.5305519104003915,0.14861774444580078,322.290697674419
264,Manor,8,13,5,11.636829376220705,9.25216293334961,0.0,317.5813953488369
265,who,8,14,3,8.451029777526855,4.513695240020752,4.7384676933288565,349.2674418604651
266,the,8,15,3,8.017744064331055,6.53187894821167,0.0,327.36046511627904
267,people,8,16,6,9.41156005859375,10.34399700164795,0.0,334.8941176470589
268,had,8,17,3,3.5449888706207275,6.869568347930907,3.474428653717041,321.03488372093
269,often,8,18,5,9.569780349731444,8.406091690063478,0.0,326.1046511627909
270,asked,8,19,5,10.826735496520996,8.74445629119873,0.0,317.8837209302329
271,for,8,20,3,4.862370491027832,5.971724510192871,2.77273178100586,310.53488372093
272,help.,16,43,5,13.835520267486572,12.25218391418457,1.7073631286621094,334.9534883720929
273,The,9,0,3,2.774135112762451,6.40224552154541,0.0,323.5813953488369
274,Lord,9,1,4,11.465849876403807,9.948598861694336,0.0,311.0813953488369
275,saw,9,2,3,14.141104698181152,4.6677021980285645,5.280896663665772,322.4418604651159
276,the,9,3,3,1.4181303977966309,5.921414852142334,0.0,334.835294117647
277,severity,9,4,8,13.5400390625,10.392416954040527,0.0,340.03529411764697
278,of,9,5,2,0.023865664377808567,0.21838216483592987,10.174034789204596,317.576470588235
279,the,9,6,3,0.8845700025558472,4.447918891906738,0.0,324.74117647058796
280,problem,9,7,7,8.925658226013184,10.971549987792967,0.0,310.2
281,the,9,8,3,9.388737678527832,4.79095983505249,6.180590152740479,330.52325581395314
282,people,9,9,6,7.486239433288574,10.15205192565918,0.0,317.26744186046506
283,faced,9,10,5,11.976469993591307,7.125484943389893,3.026566982269287,327.220930232558
284,and,9,11,3,4.107113838195802,7.229909896850586,0.0,325.0697674418599
285,suggested,9,12,9,11.525960922241213,10.140260696411133,0.0,348.59302325581393
286,a,9,13,1,5.11244010925293,4.542433738708496,5.597826957702637,331.53488372093
287,contest,9,14,7,11.838537216186525,10.371316909790039,0.0,328.541176470588
288,could,9,15,5,12.867037773132324,3.98392653465271,6.387390375137329,332.59999999999985
289,solve,9,16,5,12.04684829711914,5.432374000549316,0.0,295.46428571428606
290,the,9,17,3,1.3937500715255735,6.3439273834228525,0.0,308.24705882352913
291,problem.,18,37,8,10.079321146011353,14.852633953094482,7.104856967926025,331.8705882352941
292,He,10,0,2,8.081603050231934,6.40224552154541,0.0,315.75294117647087
293,said,10,1,4,6.895349979400635,7.086451530456543,0.0,313.470588235294
294,that,10,2,4,2.0492722988128658,4.5661797523498535,2.520271778106689,306.61176470588197
295,whoever,10,3,7,15.373685836791992,5.084984302520752,0.0,338.470588235294
296,could,10,4,5,5.659024238586426,5.83092737197876,0.0,308.4534883720929
297,kill,10,5,4,12.35071086883545,5.402940273284912,0.4279870986938477,310.8372093023259
298,the,10,6,3,1.3779566287994385,5.920228958129883,0.0,297.823529411765
299,boar,10,7,5,3.2978291511535645,10.696184158325195,0.0,303.6470588235289
300,and,10,8,3,3.390038013458252,6.631007194519043,4.0651769638061515,286.72941176470613
301,bring,10,9,5,11.660435676574707,8.322823524475098,0.0,288.529411764706
302,as,10,10,2,10.340312957763672,5.626032829284668,2.6967906951904297,331.61176470588197
303,proof,10,11,5,11.432432174682615,5.873244762420653,0.0,340.72941176470613
304,its,10,12,3,11.858722686767578,5.153488636016847,0.7197561264038086,300.5529411764711
305,head,10,13,4,7.9328675270080575,10.09210205078125,0.0,300.0235294117651
306,to,10,14,2,2.795726537704468,5.209378719329834,4.882723331451416,294.4470588235289
307,the,10,15,3,2.8081603050231934,8.811388969421387,0.0,320.76470588235304
308,Manor,10,16,5,14.816770553588867,10.57371997833252,0.0,316.9058823529411
309,House,10,17,5,11.337366104125975,5.229931354522705,5.343788623809815,328.8809523809519
310,would,10,18,5,12.756175994873047,3.4218783378601074,1.8080530166625977,317.333333333333
311,be,10,19,2,1.7428927421569824,5.733127117156982,0.0,321.4285714285711
312,rewarded,10,20,8,13.97450351715088,9.49288272857666,0.0,305.49411764705906
313,with,10,21,4,2.6604037284851074,3.9436075687408447,5.549275159835815,314.0941176470589
314,land,10,22,4,12.145034790039062,6.619152069091798,0.0,328.3214285714289
315,and,10,23,3,4.099447250366212,4.541957378387451,2.0771946907043457,335.97619047619
316,fame.,20,49,5,14.833693861961365,13.89960241317749,7.126453876495361,318.22619047619
317,It,11,0,2,7.448396682739258,6.40224552154541,0.0,329.329411764706
318,was,11,1,3,1.296560764312744,3.4118902683258057,2.9903552532196045,316.27058823529387
319,the,11,2,3,3.63525652885437,7.830411434173584,0.0,309.53012048192807
320,people,11,3,6,16.76165771484375,5.008738040924072,2.821673393249512,316.072289156626
321,of,11,4,2,1.4442622661590576,4.819350719451903,0.189387321472168,328.903614457831
322,Bradford,11,5,8,14.62529182434082,5.448290824890137,0.0,324.0
323,and,11,6,3,4.619534969329834,4.812968730926514,0.6353220939636229,331.03529411764697
324,the,11,7,3,1.6082372665405271,7.552340030670166,0.0,293.8214285714289
325,people,11,8,6,9.4473237991333,9.452910423278807,0.0,299.867469879518
326,who,11,9,3,3.36848521232605,5.780254364013673,3.6726560592651367,332.9058823529411
327,knew,11,10,4,6.844414234161378,6.779284954071045,0.0,340.28235294117604
328,them,11,11,4,5.5343217849731445,5.9801836013793945,0.7991013526916504,318.5465116279071
329,who,11,12,3,9.915806770324707,7.446909427642822,0.0,361.98823529411794
330,rejoiced,11,13,5,7.690651416778564,5.954090118408202,1.4928193092346191,347.7764705882351
331,at,11,14,2,6.688782215118407,6.5034894943237305,0.0,325.19047619047603
332,this,11,15,4,6.16940450668335,5.546652317047119,0.9568371772766112,367.2235294117649
333,proclamation,11,16,12,17.305421829223633,5.290364742279053,0.2562875747680664,365.705882352941
334,but,11,17,3,7.460084438323975,3.56897497177124,1.7213897705078125,356.18823529411793
335,one,11,18,3,9.259581565856934,7.470257759094237,0.0,349.38095238095184
336,question,11,19,8,15.796060562133787,5.626381874084473,1.8438758850097656,381.2705882352939
337,remained:,22,41,9,19.716796875,14.127825260162354,0.0,383.34523809523796
338,who,11,22,3,11.16472339630127,5.712918281555176,2.1573834419250493,331.78823529411807
339,would,11,23,5,4.51765251159668,7.093350410461426,0.0,317.91764705882406
